URI pattern part,Class,Property,DataType,Table,Column,,,
Classifier,ResourceClassifier,,,select * from classes where is_literal=false,,,,
,,URI,URI,select * from classes where is_literal=false,iri,,,
,,,,,,,,
Classifier,LiteralClassifier,,,select * from classes where is_literal=true,,,,
,,text,string,select * from classes where is_literal=true,iri,,,
,,,,,,,,
Classifier,Classifier,,,classes,,,,
,,displayName,string,classes,display_name,,,
,,instanceCount,integer,classes,cnt,,,
,,propsInSchema,boolean,classes,props_in_schema,,,
,,namestring,string,classes,local_name,,,
,,self_cp_rels,boolean,classes,self_cp_rels,,,
,,cp_ask_endpoint,boolean,classes,cp_ask_endpoint,,,
,,isLiteral,boolean,classes,is_literal,,,
,,classif_adornment,string,classes,classification_adornment,,,
,,instanceNamePattern,string,classes,instance_name_pattern,,,
,,hide_in_main,boolean,classes,hide_in_main,,,
,,local_name,string,classes,local_name,,,
,,,,,,,,
Property,Path,,,select *  from properties where ns_id is null,,,,select *  from properties where isPath=true
,,pathExpr,string,select *  from properties where ns_id is null,iri,,,select *  from properties where isPath=true
,,,,,,,,
Property,Property,,,select * from properties where ns_id is not null,,,,select * from properties where isPath=false
,,URI,URI,select * from properties where ns_id is not null,iri,,,select * from properties where isPath=false
,,local_name,string,select * from properties where ns_id is not null,local_name,,,select * from properties where isPath=false
,,,,,,,,
Property,Path,,,properties,,,,
,,displayName,string,properties,display_name,,,
,,tripleCount,integer,properties,cnt,,,
,,dataTripleCount,integer,properties,data_cnt,,,
,,objectTripleCount,integer,properties,object_cnt,,,
,,maxCardinality,integer,properties,max_cardinality,,,
,,invMaxCardinality,integer,properties,inverse_max_cardinality,,,
,,sourceCoverComplete,boolean,properties,source_cover_complete,,,
,,targetCoverComplete,boolean,properties,target_cover_complete,,,
,,classes_in_schema,boolean,properties,classes_in_schema,,,
,,props_in_schema,boolean,properties,props_in_schema,,,
,,is_classifier,boolean,properties,is_classifier,,,
,,pp_ask_endpoint,boolean,properties,pp_ask_endpoint,,,
,,pc_ask_endpoint,boolean,properties,pc_ask_endpoint,,,
,,,,,,,,
Datatype,Datatype,,,datatypes,,,,
,,URI,URI,datatypes,iri,,,
,,local_name,string,datatypes,local_name,,,
,,,,,,,,
Parameters,Parameters,,,parameters,,,,
,,name,string,parameters,name,,,
,,order_inx,integer,parameters,order_inx,,,
,,textValue,string,parameters,textvalue,,,
,,jsonValue,string,parameters,jsonvalue,,,
,,comment,string,parameters,comment,,,
,,,,,,,,
ClassClassRel,SubClass,,,select * from cc_rels where type_id=1,,,,
ClassClassRel,EquivalentClasses,,,select * from cc_rels where type_id=2,,,,
ClassClassRel,IntersectingClasses,,,select * from cc_rels where type_id=3,,,,
ClassClassRel,ClassClassRel,,,cc_rels,,,,
,,cc_rel_type,integer,cc_rels,type_id,,,
,,,,,,,,
PropertyPropertyRel,CommonObject,,,select * from pp_rels where type_id=2,,,,
PropertyPropertyRel,CommonSubject,,,select * from pp_rels where type_id=3,,,,
PropertyPropertyRel,PPFollows,,,select * from pp_rels where type_id=1,,,,
PropertyPropertyRel,PropertyPropertyRel,,,pp_rels,,,,
,,pprel_type,integer,pp_rels,type_id,,,
,,tripleCount,integer,pp_rels,cnt,,,
,,,,,,,,
ClassProperty_Class_Rel,ClassProperty_Class_Rel,,,cpc_rels,,,,
,,tripleCount,integer,cpc_rels,cnt,,,
,,importanceIndex,integer,cpc_rels,cover_set_index,,,
,,,,,,,,
ClassPropertyPair,ClassToProperty,,,select * from cp_rels where type_id=2,,,,
ClassPropertyPair,PropertyToClass,,,select * from cp_rels where type_id=1,,,,
ClassPropertyPair,ClassPropertyPair,,,cp_rels,,,,
,,cprel_type,integer,cp_rels,type_id,,,
,,tripleCount,integer,cp_rels,cnt,,,
,,maxCardinalityInContext,integer,cp_rels,max_cardinality,,,
,,minCardinalityInContext,integer,cp_rels,min_cardinality,,,
,,importanceIndex,integer,cp_rels,cover_set_index,,,
,,detailsLevel,integer,cp_rels,details_level,,,
,,,,,,,,
ClassProperty_Datatype,ClassProperty_Datatype,,,cpd_rels,,,,
,,tripleCount,integer,cpd_rels,cnt,,,
,,,,,,,,
Property_Datatype,Property_Datatype,,,pd_rels,,,,
,,tripleCount,integer,pd_rels,cnt,,,
,,,,,,,,
Namespace,Namespace,,,ns,,,,
,,prefix,string,ns,name,,,
,,URI,string,ns,value,,,
,,isDefault,boolean,ns,is_local,,,
,,,,,,,,
Annotation,Annotation,,,annot_types,,,,
,,URI,URI,annot_types,iri,,,
,,local_name,string,annot_types,local_name,,,
,,,,,,,,
ClassTag,Tag,,,class_annots,,,,
ClassTag,ClassTag,,,class_annots,,,,
,,value,string,class_annots,annotation,,,
,,language,string,class_annots,language_code,,,
,,,,,,,,
PropertyTag,Tag,,,property_annots,,,,
PropertyTag,PropertyTag,,,property_annots,,,,
,,value,string,property_annots,annotation,,,
,,language,string,property_annots,language_code,,,
